id,user_id,subtotal,delivery_fee,tax,total,status,customer_name,address,phone,payment_method,created_at
SYN000001,3,1671.0,0.0,133.68,1804.68,delivered,Aarav Sharma,401 Laxmi Nagar,+91 7998250428,upi,2026-04-10T08:46:25.912Z
SYN000002,3,2018.0,0.0,161.44,2179.44,delivered,Aarav Sharma,386 Park Street,+91 8567921182,cash,2025-11-03T08:46:25.912Z
SYN000003,3,1896.0,0.0,151.68,2047.68,delivered,Aarav Sharma,85 MG Road,+91 7113261384,upi,2026-06-16T08:46:25.912Z
SYN000004,3,1270.0,0.0,101.6,1371.6,delivered,Aarav Sharma,377 MG Road,+91 9279033987,card,2026-06-25T08:46:25.912Z
SYN000005,3,933.0,0.0,74.64,1007.64,delivered,Aarav Sharma,422 Koramangala,+91 8929191698,upi,2026-07-20T08:46:25.912Z
SYN000006,3,2116.0,0.0,169.28,2285.28,delivered,Aarav Sharma,189 Nehru Nagar,+91 7539717042,cash,2025-12-03T08:46:25.912Z
SYN000007,3,872.0,0.0,69.76,941.76,delivered,Aarav Sharma,352 Park Street,+91 7709195454,cash,2026-06-22T08:46:25.912Z
SYN000008,3,1184.0,0.0,94.72,1278.72,delivered,Aarav Sharma,185 Gandhi Path,+91 7768219401,card,2025-11-14T08:46:25.912Z
SYN000009,3,845.0,0.0,67.6,912.6,delivered,Aarav Sharma,343 Salt Lake,+91 8022382144,card,2026-03-12T08:46:25.912Z
SYN000010,3,1619.0,0.0,129.52,1748.52,delivered,Aarav Sharma,154 Brigade Road,+91 7706770503,upi,2026-05-16T08:46:25.912Z
SYN000011,3,1842.0,0.0,147.36,1989.36,delivered,Aarav Sharma,24 Brigade Road,+91 7855115253,cash,2025-08-28T08:46:25.912Z
SYN000012,3,1844.0,0.0,147.52,1991.52,delivered,Aarav Sharma,64 Banjara Hills,+91 9363699996,card,2026-04-15T08:46:25.912Z
SYN000013,3,1478.0,0.0,118.24,1596.24,delivered,Aarav Sharma,317 Koramangala,+91 8575652355,upi,2025-10-14T08:46:25.912Z
SYN000014,3,2875.0,0.0,230.0,3105.0,delivered,Aarav Sharma,478 Koramangala,+91 7036228248,upi,2026-02-12T08:46:25.912Z
SYN000015,3,1159.0,0.0,92.72,1251.72,delivered,Aarav Sharma,22 Gandhi Path,+91 7386055741,upi,2026-02-02T08:46:25.912Z
SYN000016,3,1284.0,0.0,102.72,1386.72,delivered,Aarav Sharma,495 Salt Lake,+91 9421273595,cash,2026-08-05T08:46:25.912Z
SYN000017,3,2435.0,0.0,194.8,2629.8,delivered,Aarav Sharma,222 Park Street,+91 7179990278,card,2025-11-16T08:46:25.912Z
SYN000018,3,1547.0,0.0,123.76,1670.76,delivered,Aarav Sharma,227 Laxmi Nagar,+91 7666873141,cash,2025-10-20T08:46:25.912Z
SYN000019,3,1329.0,0.0,106.32,1435.32,delivered,Aarav Sharma,431 Koramangala,+91 9498584213,upi,2026-05-25T08:46:25.912Z
SYN000020,3,1103.0,0.0,88.24,1191.24,delivered,Aarav Sharma,29 Koramangala,+91 9387428267,cash,2025-10-17T08:46:25.912Z
SYN000021,3,2707.0,0.0,216.56,2923.56,delivered,Aarav Sharma,272 Andheri West,+91 8028871443,cash,2025-12-27T08:46:25.912Z
SYN000022,3,2351.0,0.0,188.08,2539.08,delivered,Aarav Sharma,270 Banjara Hills,+91 7156533531,cash,2026-06-23T08:46:25.912Z
SYN000023,3,1595.0,0.0,127.6,1722.6,delivered,Aarav Sharma,324 Brigade Road,+91 8265035047,card,2026-05-29T08:46:25.912Z
SYN000024,3,1448.0,0.0,115.84,1563.84,delivered,Aarav Sharma,377 Gandhi Path,+91 8127992240,upi,2026-05-13T08:46:25.912Z
SYN000025,3,1040.0,0.0,83.2,1123.2,delivered,Aarav Sharma,361 Park Street,+91 7722726891,card,2026-01-20T08:46:25.912Z
SYN000026,3,1477.0,0.0,118.16,1595.16,delivered,Aarav Sharma,400 Laxmi Nagar,+91 8470144814,card,2026-01-30T08:46:25.912Z
SYN000027,3,2386.0,0.0,190.88,2576.88,delivered,Aarav Sharma,349 MG Road,+91 7275826597,card,2025-11-10T08:46:25.912Z
SYN000028,3,2145.0,0.0,171.6,2316.6,delivered,Aarav Sharma,183 MG Road,+91 9253168392,card,2025-09-17T08:46:25.912Z
SYN000029,3,3396.0,0.0,271.68,3667.68,delivered,Aarav Sharma,291 Brigade Road,+91 8886892959,cash,2026-02-19T08:46:25.912Z
SYN000030,3,1964.0,0.0,157.12,2121.12,delivered,Aarav Sharma,181 Brigade Road,+91 7739263981,upi,2025-11-09T08:46:25.912Z
SYN000031,3,2061.0,0.0,164.88,2225.88,delivered,Aarav Sharma,477 Gandhi Path,+91 9819045103,cash,2026-08-14T08:46:25.912Z
SYN000032,3,913.0,0.0,73.04,986.04,delivered,Aarav Sharma,327 Laxmi Nagar,+91 8848884542,card,2025-10-07T08:46:25.912Z
SYN000033,3,1729.0,0.0,138.32,1867.32,delivered,Aarav Sharma,152 Koramangala,+91 8937423219,card,2026-01-06T08:46:25.912Z
SYN000034,3,2190.0,0.0,175.2,2365.2,delivered,Aarav Sharma,473 Park Street,+91 7070820395,card,2025-10-06T08:46:25.912Z
SYN000035,3,1454.0,0.0,116.32,1570.32,delivered,Aarav Sharma,82 Park Street,+91 8558633904,upi,2026-05-19T08:46:25.912Z
SYN000036,3,1804.0,0.0,144.32,1948.32,delivered,Aarav Sharma,320 Banjara Hills,+91 9403053045,card,2026-02-17T08:46:25.912Z
SYN000037,3,1706.0,0.0,136.48,1842.48,delivered,Aarav Sharma,153 Andheri West,+91 8202180487,cash,2026-07-18T08:46:25.912Z
SYN000038,3,1210.0,0.0,96.8,1306.8,delivered,Aarav Sharma,136 Laxmi Nagar,+91 7285356372,upi,2026-04-25T08:46:25.912Z
SYN000039,3,991.0,0.0,79.28,1070.28,delivered,Aarav Sharma,383 Koramangala,+91 7609215215,cash,2026-02-20T08:46:25.912Z
SYN000040,3,1991.0,0.0,159.28,2150.28,delivered,Aarav Sharma,243 MG Road,+91 7205538135,cash,2025-09-01T08:46:25.912Z
SYN000041,3,902.0,0.0,72.16,974.16,delivered,Aarav Sharma,447 Laxmi Nagar,+91 7934488862,cash,2026-07-15T08:46:25.912Z
SYN000042,3,1446.0,0.0,115.68,1561.68,delivered,Aarav Sharma,441 Gandhi Path,+91 7628047180,cash,2026-08-01T08:46:25.912Z
SYN000043,3,2203.0,0.0,176.24,2379.24,delivered,Aarav Sharma,493 MG Road,+91 9575686287,cash,2026-01-06T08:46:25.912Z
SYN000044,3,1238.0,0.0,99.04,1337.04,delivered,Aarav Sharma,350 Brigade Road,+91 9712753103,cash,2025-11-30T08:46:25.912Z
SYN000045,3,2216.0,0.0,177.28,2393.28,delivered,Aarav Sharma,65 Salt Lake,+91 8512168642,cash,2026-05-17T08:46:25.912Z
SYN000046,3,2445.0,0.0,195.6,2640.6,delivered,Aarav Sharma,448 Laxmi Nagar,+91 9576351885,upi,2025-09-11T08:46:25.912Z
SYN000047,3,1628.0,0.0,130.24,1758.24,delivered,Aarav Sharma,416 Salt Lake,+91 8619935211,cash,2025-11-04T08:46:25.912Z
SYN000048,3,811.0,0.0,64.88,875.88,delivered,Aarav Sharma,224 Nehru Nagar,+91 9036266473,cash,2026-01-09T08:46:25.912Z
SYN000049,3,2096.0,0.0,167.68,2263.68,delivered,Aarav Sharma,177 Nehru Nagar,+91 8712972648,cash,2026-01-16T08:46:25.912Z
