id,name,email,password_hash,role,created_at
1,Admin User,admin@freshcart.com,$2a$10$jthEs5dI9YRdJEEufP2vDOxpT2rNluY1mubZi7mkuoau5HQhcROcC,admin,2026-08-21 08:46:25
2,Demo Customer,customer@freshcart.com,$2a$10$smu.dzl8D4REQUxtRyZhJ.cN9qwWRbAx9IhruHLicwRvmMFYr6mrq,customer,2026-08-21 08:46:25
3,Aarav Sharma,aarav1@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
4,Vivaan Iyer,vivaan2@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
5,Aditya Chopra,aditya3@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
6,Vihaan Gupta,vihaan4@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
7,Arjun Mehta,arjun5@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
8,Reyansh Singh,reyansh6@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
9,Sai Tiwari,sai7@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
10,Arnav Iyer,arnav8@email.com,$2a$10$NyvGXTdGqidmkYy6Z/lrRe5dZR.yjvsCs/kAGgOkmlPtHhYTCvcr2,customer,2026-08-21 08:46:25
